Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2011 EUR;Voranschlag 2010 EUR;Rechnung 2009 EUR
'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'MD060';'MDPA';      14000.00;      15000.00;      21080.90
'1.00000.042300';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'G0FW0';'FW00';          0.00;          0.00;       2206.27
'1.00000.042550';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'12230';'0804';          0.00;          0.00;       1728.55
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'GMDI0';'MDIM';          0.00;          0.00;       1583.13
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;'12230';'0804';       1000.00;       1000.00;          0.00
'1.00000.070990';AKTIVIERUNGSFÄHIGE RECHTE EDV;AUSGABE;'00000';42;3;'GMDI0';'MDIM';          0.00;          0.00;       1608.66
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;'SN021';'SN21';      14800.00;      14700.00;      14120.69
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'12230';'0804';       1900.00;       2000.00;        673.17
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'MD060';'MDPA';      14000.00;      15000.00;      17886.73
'1.00000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        200.00;        673.68
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;'GMDI0';'MDIM';          0.00;          0.00;       6860.17
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;'';'STSR';       8300.00;       8300.00;       4821.85
'1.00000.420200';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'MD060';'MDPA';        500.00;          0.00;        651.69
'1.00000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        500.00;       2408.33
'1.00000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        500.00;        237.67
'1.00000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        500.00;        303.35
'1.00000.428200';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'MD060';'MDPA';       1500.00;          0.00;       2879.29
'1.00000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'12230';'0804';       1000.00;       1000.00;          0.00
'1.00000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        500.00;       2389.22
'1.00000.454000';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;'12202';'0805';          0.00;          0.00;         73.22
'1.00000.454200';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';        400.00;        400.00;        655.23
'1.00000.456200';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      10000.00;      10000.00;       8770.97
'1.00000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      12000.00;      14900.00;      12891.41
'1.00000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'00000';23;1;'MD060';'MDPA';      20000.00;      12000.00;       1912.55
'1.00000.457200';DRUCKWERKE;AUSGABE;'00000';23;1;'MD060';'MDPA';      24000.00;      18000.00;      20752.45
'1.00000.459200';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';        300.00;        600.00;        586.88
'1.00000.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'12230';'0804';       1000.00;       1000.00;          0.00
'1.00000.459890';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        100.00;         34.76
'1.00000.459990';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;        100.00;          0.00
'1.00000.480890';FREMDBEARBEITUNG (LOHNARBEIT);AUSGABE;'00000';23;1;'G085W';'085W';          0.00;        200.00;          0.00
'1.00000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     662800.00;     662800.00;     667674.55
'1.00000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     145500.00;     145500.00;     142880.67
