Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2010 EUR;Voranschlag 2009 EUR;Rechnung 2008 EUR
'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'MD060';'MDPA';      15000.00;      10000.00;      38581.87
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'GMDI0';'MDIM';          0.00;          0.00;      16059.00
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;'12230';'0805';       1000.00;       1000.00;          0.00
'1.00000.070990';AKTIVIERUNGSFÄHIGE RECHTE EDV;AUSGABE;'00000';42;3;'GMDI0';'MDIM';          0.00;          0.00;       5061.23
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;'SN021';'SN21';      14700.00;      14100.00;      13911.37
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'12230';'0805';       2000.00;       2000.00;        711.26
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'MD060';'MDPA';      15000.00;      15000.00;      69771.30
'1.00000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'G085W';'085W';        200.00;        200.00;         17.76
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;'GMDI0';'MDIM';          0.00;          0.00;      14095.17
'1.00000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'00000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;'';'STSR';       8300.00;       8300.00;       5452.92
'1.00000.420200';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;          0.00;       1251.83
'1.00000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';        500.00;        500.00;        380.33
'1.00000.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'00000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.00000.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'00000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.00000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'00000';23;1;'G085W';'085W';        500.00;        500.00;        212.61
'1.00000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';        500.00;        500.00;        117.60
'1.00000.428200';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;          0.00;       4209.84
'1.00000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'12230';'0805';       1000.00;       1000.00;        118.18
'1.00000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'G085W';'085W';        500.00;        500.00;       1160.83
'1.00000.454000';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;'12202';'0805';          0.00;          0.00;        200.22
'1.00000.454200';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';        400.00;        100.00;        198.19
'1.00000.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'';'0805';          0.00;          0.00;         81.06
'1.00000.456200';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      10000.00;      10000.00;      11844.40
'1.00000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      14900.00;          0.00;      14182.09
'1.00000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'00000';23;1;'MD060';'MDPA';      12000.00;      12000.00;      12255.65
'1.00000.457200';DRUCKWERKE;AUSGABE;'00000';23;1;'MD060';'MDPA';      18000.00;      18000.00;      17755.80
'1.00000.458200';MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;        100.00;          0.00
'1.00000.459200';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';        600.00;        600.00;       1105.80
'1.00000.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'12230';'0805';       1000.00;       1000.00;          0.00
'1.00000.459890';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.00000.459990';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';        100.00;          0.00;          0.00
'1.00000.480890';FREMDBEARBEITUNG (LOHNARBEIT);AUSGABE;'00000';23;1;'G085W';'085W';        200.00;        200.00;          0.00
'1.00000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     662800.00;     792200.00;     744824.69
'1.00000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     145500.00;     167800.00;     146760.61
'1.00000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';    1413700.00;    1465000.00;    1443211.23
'1.00000.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     365700.00;     321100.00;     337970.13
'1.00000.522500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'00000';20;0;'SN001';'MDPA';       1800.00;          0.00;      40447.40
'1.00000.523500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;          0.00;       3163.76
'1.00000.560000';REISEGEBÜHREN;AUSGABE;'00000';20;0;'MD060';'MDPA';       1800.00;       1200.00;       1720.21
'1.00000.563000';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;        200.00;        207.50
'1.00000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;        100.00;         40.98
