Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2009 EUR;Voranschlag 2008 EUR;Rechnung 2007 EUR
'1.00000.042000';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'20301';'2000';          0.00;          0.00;       2746.35
'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'MD060';'MDPA';      10000.00;      50000.00;       2585.21
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;'GMDI0';'MDIM';          0.00;          0.00;      17220.74
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;'12230';'0805';       1000.00;          0.00;          0.00
'1.00000.070990';AKTIVIERUNGSFÄHIGE RECHTE EDV;AUSGABE;'00000';42;3;'GMDI0';'MDIM';          0.00;          0.00;        791.00
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;'SN021';'SN21';      14100.00;      13900.00;      13715.21
'1.00000.400000';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'20301';'2000';          0.00;          0.00;       1560.24
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'12230';'0805';       2000.00;          0.00;        556.90
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'MD060';'MDPA';      15000.00;     100000.00;       1931.10
'1.00000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;'G085W';'085W';        200.00;       1500.00;        584.39
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;'GMDI0';'MDIM';          0.00;          0.00;       6757.36
'1.00000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'00000';23;1;'12230';'0805';       1000.00;          0.00;          0.00
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;'';'STSR';       8300.00;       8300.00;       6240.88
