'1.00000.042200';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'MDPA';        788.74;      13374.14;      14162.88;      13223.89;        938.99;      14000.00;          0.00;      14000.00;        625.86;          0.00
'1.00000.042990';AMTSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'MDIM';        984.23;          0.00;        984.23;        984.23;          0.00;          0.00;          0.00;          0.00;          0.00;          0.00
'1.00000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'00000';41;3;D;'0804';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'00000';65;8;S;'SN21';          0.00;      15156.61;      15156.61;      15156.61;          0.00;      14800.00;          0.00;      14800.00;          0.00;        356.61
'1.00000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;D;'0804';          0.00;          0.00;          0.00;          0.00;          0.00;       1900.00;          0.00;       1900.00;       1900.00;          0.00
'1.00000.400200';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;1;D;'MDPA';       1763.74;      13562.79;      15326.53;      12421.68;       2904.85;      14000.00;          0.00;      14000.00;        437.21;          0.00
'1.00000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'00000';23;3;D;'MDIM';        523.76;          0.00;        523.76;        523.76;          0.00;          0.00;          0.00;          0.00;          0.00;          0.00
'1.00000.403000';HANDELSWAREN POKALE, EHRENPREISE U.DGL.;AUSGABE;'00000';23;9;D;'STSR';          0.00;       6416.83;       6416.83;       6416.83;          0.00;       8300.00;          0.00;       8300.00;       1883.17;          0.00
'1.00000.420200';PFLANZLICHE ROHSTOFFE;AUSGABE;'00000';23;1;D;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;        500.00;          0.00;        500.00;        500.00;          0.00
'1.00000.425200';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;D;'MDPA';        113.48;          0.00;        113.48;        113.48;          0.00;          0.00;          0.00;          0.00;          0.00;          0.00
'1.00000.428200';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;D;'MDPA';        461.55;          0.00;        461.55;        461.55;          0.00;       1500.00;          0.00;       1500.00;       1500.00;          0.00
'1.00000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;D;'0804';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.00000.454200';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;D;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;        400.00;          0.00;        400.00;        400.00;          0.00
'1.00000.454206';REINIGUNGSMITTEL GBG-WERKSTÄTTEN;AUSGABE;'00000';23;1;D;'MDPA';          0.00;        351.41;        351.41;        223.84;        127.57;          0.00;          0.00;          0.00;          0.00;        351.41
'1.00000.456200';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;D;'MDPA';        176.46;      12382.54;      12559.00;      11511.16;       1047.84;      10000.00;          0.00;      10000.00;          0.00;       2382.54
'1.00000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;D;'MDPA';        513.64;       1168.70;       1682.34;       1682.34;          0.00;      12000.00;          0.00;      12000.00;      10831.30;          0.00
